datetime,open,high,low,close,volume,symbol,lowestlow_10,bull_pivot,bull_pivot2,bull_pivot3,bull_pivot5,bull_pivot7,bull_pivotw,close_bullpivot,close_bullpivot2,close_bullpivot3,close_bullpivot5,close_bullpivot7,close_bullpivotw
2023-05-03 09:30:00,411.36,411.6,411.31,411.57,356969,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:31:00,411.56,411.67,411.35,411.49,199980,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:32:00,411.51,411.74,411.5001,411.66,150035,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:33:00,411.68,411.69,411.44,411.461,134624,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:34:00,411.48,411.535,411.28,411.43,244951,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:35:00,411.42,411.5491,411.29,411.49,108760,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:36:00,411.48,411.61,411.4,411.455,114860,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:37:00,411.46,411.47,411.25,411.3017,132450,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:38:00,411.3009,411.57,411.28,411.55,157944,SPY,,False,False,False,False,False,False,,,,,,
2023-05-03 09:39:00,411.575,411.715,411.5,411.52,115165,SPY,411.25,False,False,False,False,False,False,,,,,,
2023-05-03 09:40:00,411.5,411.71,411.5,411.64,116689,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:41:00,411.63,411.735,411.5,411.5,70244,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:42:00,411.5,411.7,411.4,411.67,98666,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:43:00,411.67,411.7899,411.63,411.78,140499,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:44:00,411.78,411.78,411.59,411.62,119250,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:45:00,411.65,411.92,411.53,411.8442,199392,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
2023-05-03 09:46:00,411.84,411.86,411.65,411.6811,108870,SPY,411.25,False,False,False,False,False,False,False,False,False,False,False,False
