Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2022-12-20,269.54,51064200,268.56,271.32,266.95,1.6237204376985546,273.45,,,
2022-12-19,269.75,44167920,273.87,273.96,268.49,2.0167757396995003,269.54,,,
2022-12-16,274.25,68300350,276.2,277.77,272.61,1.8750681347432567,269.75,,,
2022-12-15,276.89,60554120,282.33,283.01,275.67,2.6276222524521993,274.25,,,
2022-12-14,286.51,64984430,288.05,291.41,283.19,2.861120779672825,276.89,,,
2022-12-13,288.65,80667680,296.65,296.875,285.91,3.7629657592422503,286.51,,,
2022-12-12,285.58,35732520,282.22,285.64,281.16,1.5808045165843196,288.65,,,
2022-12-09,282.04,47860490,282.81,285.64,281.59,1.4279921724873548,285.58,,,
2022-12-08,283.85,42594910,281.91,284.84,279.79,1.7887820342525032,282.04,,,
2022-12-07,280.53,45614250,280.47,282.57,278.7801,1.350280333075558,283.85,,,
