date,open,high,low,close,volume
1/29/93,25.5515,25.5515,25.4244,25.5333,1003200
2/1/93,25.5515,25.7149,25.5515,25.7149,480500
2/2/93,25.6967,25.7876,25.6423,25.7694,201300
2/3/93,25.8057,26.0599,25.7876,26.0418,529400
2/4/93,26.1326,26.2052,25.842,26.1508,531500
2/5/93,26.1326,26.1871,25.9873,26.1326,492100
2/8/93,26.1326,26.2234,26.0963,26.1326,596100
2/9/93,26.0418,26.0418,25.8965,25.951,122100
2/10/93,25.951,26.0055,25.8783,25.9873,379600
2/11/93,26.0236,26.2234,26.0236,26.1145,19500
2/12/93,26.0781,26.0781,25.9147,25.9147,42500
2/16/93,25.842,25.842,25.2246,25.2609,374800
2/17/93,25.2609,25.2972,25.1519,25.2428,210900
2/18/93,25.5333,25.5333,24.8796,25.2246,378100
2/19/93,25.2246,25.3154,25.1883,25.3154,34900
2/22/93,25.388,25.4425,25.3154,25.4062,513600
2/23/93,25.4788,25.497,25.2609,25.388,373700
2/24/93,25.4062,25.7149,25.4062,25.7149,26300
2/25/93,25.6967,25.7876,25.6423,25.7694,44500
2/26/93,25.8239,25.8239,25.6786,25.8057,66200
3/1/93,25.8965,25.8965,25.6967,25.7331,66500
3/2/93,25.7513,26.1145,25.7149,26.1145,182400
3/3/93,26.1508,26.2416,26.1145,26.2234,280100
3/4/93,26.2597,26.2597,26.0781,26.0781,89500
3/5/93,26.1145,26.2234,25.9873,26.0055,40000
3/8/93,26.0599,26.5866,26.0599,26.5866,50800
3/9/93,26.5321,26.5503,26.4413,26.4958,169300
3/10/93,26.4958,26.5503,26.3868,26.5503,194400
3/11/93,26.5684,26.6411,26.4413,26.4777,70900
3/12/93,26.2597,26.2779,26.0418,26.2052,643600
3/15/93,26.1871,26.3324,26.1871,26.3324,310800
3/16/93,26.3324,26.405,26.3324,26.3324,30800
3/17/93,26.2961,26.2961,26.1326,26.1689,21800
3/18/93,26.2779,26.4413,26.2779,26.3324,59300
3/19/93,26.4387,26.4387,26.2927,26.2927,66900
3/22/93,26.0372,26.2015,26.019,26.1467,183400
3/23/93,26.2197,26.238,26.165,26.2015,55200
3/24/93,26.165,26.311,26.0372,26.2015,37200
3/25/93,26.2197,26.4204,26.1832,26.3657,110100
3/26/93,26.3475,26.3657,26.2015,26.2197,101500
3/29/93,26.238,26.4569,26.238,26.3292,87100
3/30/93,26.3657,26.4022,26.3292,26.4022,56000
3/31/93,26.4752,26.5481,26.384,26.384,111600
4/1/93,26.4204,26.4204,26.238,26.2927,129500
4/2/93,26.0737,26.0737,25.7453,25.7453,59400
4/5/93,25.946,25.946,25.8001,25.8731,172200
4/6/93,25.9278,25.9278,25.7271,25.8001,129700
4/7/93,25.8366,25.8913,25.7818,25.8913,28000
4/8/93,26.0008,26.0008,25.7453,25.8548,180800
4/12/93,26.1102,26.238,26.0737,26.2197,348500
4/13/93,26.2015,26.3657,26.1832,26.2745,146100
4/14/93,26.2927,26.311,26.2197,26.238,119600
4/15/93,26.2197,26.2927,26.1285,26.238,148600
4/16/93,26.2562,26.2927,26.2015,26.238,47900
4/19/93,26.238,26.311,26.1102,26.1285,157000
4/20/93,26.092,26.1285,25.8366,26.0008,279500
4/21/93,26.0555,26.0555,25.9096,25.9825,67900
4/22/93,25.8731,26.092,25.6541,25.6541,97700
4/23/93,25.5993,25.6723,25.5081,25.5446,106000
4/26/93,25.5628,25.6541,25.2709,25.3439,62600
4/27/93,25.3074,25.6176,25.3074,25.6176,156800
4/28/93,25.5811,25.6358,25.5264,25.5628,85900
4/29/93,25.6176,25.6723,25.4716,25.6723,85000
4/30/93,25.7636,25.8548,25.7088,25.7088,88500
5/3/93,25.7453,25.8731,25.6358,25.8731,80500
5/4/93,25.9278,26.0555,25.8913,25.9643,149100
5/5/93,25.9643,26.1285,25.9643,26.0372,109000
5/6/93,26.0008,26.019,25.9278,25.946,54700
5/7/93,25.9643,25.9643,25.8548,25.8913,68000
5/10/93,25.9278,26.092,25.9278,25.946,113900
5/11/93,25.946,26.0555,25.8731,26.0555,42600
5/12/93,25.946,26.0372,25.946,26.019,31000
5/13/93,25.9096,25.9096,25.6906,25.7088,129100
5/14/93,25.7088,25.7818,25.6723,25.6906,63500
5/17/93,25.7636,25.7818,25.6541,25.7818,34000
5/18/93,25.8001,25.8183,25.6723,25.7636,105200
5/19/93,25.7636,26.2927,25.5993,26.2927,50200
5/20/93,26.2927,26.3657,26.238,26.3657,98200
5/21/93,26.384,26.4204,26.1102,26.1285,221400
5/24/93,26.1832,26.3292,26.1832,26.238,30500
5/25/93,26.3475,26.3475,26.2927,26.2927,191800
5/26/93,26.3657,26.6394,26.3475,26.6211,102400
5/27/93,26.6576,26.6576,26.4934,26.5299,53800
5/28/93,26.5116,26.5116,26.2745,26.4022,79100
6/1/93,26.4934,26.7489,26.4569,26.6576,28300
6/2/93,26.5846,26.7124,26.4752,26.6211,20300
6/3/93,26.5664,26.5664,26.4752,26.5299,21600
6/4/93,26.4569,26.4569,26.3292,26.4387,32000
6/7/93,26.4934,26.4934,26.3475,26.3475,121400
6/8/93,26.2745,26.2745,26.1102,26.1102,104500
6/9/93,26.2015,26.311,26.165,26.2015,43300
6/10/93,26.1832,26.238,26.1285,26.2197,17900
6/11/93,26.311,26.3657,26.2197,26.3292,647400
6/14/93,26.3657,26.384,26.2927,26.2927,64200
6/15/93,26.3292,26.3475,26.238,26.238,142400
6/16/93,26.238,26.2927,26.165,26.2927,330900
6/17/93,26.3475,26.384,26.2927,26.384,37400
6/18/93,26.3703,26.3703,26.1682,26.1682,58500
6/21/93,26.2417,26.2417,26.1866,26.2233,29300
6/22/93,26.2601,26.2601,26.205,26.2417,137500
6/23/93,26.2417,26.2417,26.0028,26.0028,227600
6/24/93,26.0763,26.352,26.0763,26.352,243700
6/25/93,26.3336,26.4071,26.3152,26.3336,44800
6/28/93,26.4622,26.6276,26.4255,26.6276,439900
6/29/93,26.5908,26.5908,26.4622,26.499,207500
6/30/93,26.5357,26.5908,26.4622,26.499,437600
7/1/93,26.5357,26.5357,26.3887,26.4255,605700
7/2/93,26.3336,26.352,26.1866,26.2785,285400
7/6/93,26.2417,26.3152,25.966,26.0028,246400
7/7/93,25.9844,26.113,25.9844,26.0763,343700
7/8/93,26.0947,26.4255,26.0579,26.3703,248200
7/9/93,26.3703,26.4438,26.3152,26.4438,378200
7/12/93,26.4071,26.4438,26.3703,26.4255,373700
7/13/93,26.4438,26.5173,26.2601,26.4071,389600
7/14/93,26.4255,26.5725,26.4071,26.499,617300
7/15/93,26.4806,26.4806,26.3336,26.3887,443800
7/16/93,26.4071,26.4255,26.2785,26.3152,216400
7/19/93,26.3152,26.3152,26.2233,26.2968,188200
7/20/93,26.2785,26.3703,26.1498,26.3703,68500
7/21/93,26.3336,26.352,26.2601,26.352,142700
7/22/93,26.3152,26.352,26.1682,26.1682,632400
7/23/93,26.2233,26.2968,26.205,26.2968,286200
7/26/93,26.3703,26.499,26.3703,26.4438,121300
7/27/93,26.4622,26.4806,26.3336,26.4255,92800
7/28/93,26.3703,26.4255,26.3336,26.3703,30800
7/29/93,26.4255,26.5908,26.3887,26.5173,331000
7/30/93,26.5173,26.5173,26.3336,26.3703,75300
8/2/93,26.4071,26.5357,26.4071,26.4438,41300
8/3/93,26.499,26.5725,26.3703,26.4622,81600
8/4/93,26.4622,26.5173,26.3887,26.4622,434000
8/5/93,26.4622,26.4622,26.3703,26.4071,36800
8/6/93,26.4806,26.499,26.4071,26.4438,402300
8/9/93,26.5173,26.6643,26.4622,26.5908,828200
8/10/93,26.5725,26.5908,26.5357,26.5725,604900
8/11/93,26.5541,26.646,26.5541,26.5725,542200
8/12/93,26.646,26.646,26.4071,26.499,303700
8/13/93,26.5173,26.5541,26.5173,26.5357,103500
8/16/93,26.5541,26.7563,26.5541,26.6828,241800
8/17/93,26.6643,26.7746,26.6643,26.7746,369300
8/18/93,26.8665,26.9768,26.8481,26.9216,414300
8/19/93,26.94,26.94,26.8849,26.9216,28500
