date,open,high,low,close,volume,spy_range,prev_spy_close,vix_open,vix_close,vix_range
1993-01-29,25.5515,25.5515,25.4244,25.5333,1003200,0.4986670171590976,,12.49,12.42,5.785770132916343
1993-02-01,25.5515,25.7149,25.5515,25.7149,480500,0.6374545511290018,25.5333,12.51,12.33,5.896414342629484
1993-02-02,25.6967,25.7876,25.6423,25.7694,201300,0.5650409586641327,25.7149,12.47,12.25,5.3365193150139385
1993-02-03,25.8057,26.0599,25.7876,26.0418,529400,1.0503881575775025,25.7694,11.98,12.12,4.558640696228767
1993-02-04,26.1326,26.2052,25.842,26.1508,531500,1.3956562504803431,26.0418,11.86,12.29,9.376273950264984
1993-02-05,26.1326,26.1871,25.9873,26.1326,492100,0.7658928516667168,26.1508,12.56,12.9,7.40169622205088
1993-02-08,26.1326,26.2234,26.0963,26.1326,596100,0.4858590550022352,26.1326,13.15,13.22,13.312930374904363
1993-02-09,26.0418,26.0418,25.8965,25.951,122100,0.5595100340211323,26.1326,13.63,13.48,2.427363001103348
1993-02-10,25.951,26.0055,25.8783,25.9873,379600,0.4903264602824079,25.951,13.58,13.43,9.244314013206163
1993-02-11,26.0236,26.2234,26.0236,26.1145,19500,0.7648286025992049,25.9873,13.05,12.69,7.7625570776255675
1993-02-12,26.0781,26.0781,25.9147,25.9147,42500,0.6285485682632954,26.1145,13.58,12.38,10.315627405696688
1993-02-16,25.842,25.842,25.2246,25.2609,374800,2.4180188224788806,25.9147,13.44,15.76,20.80536912751678
1993-02-17,25.2609,25.2972,25.1519,25.2428,210900,0.5760261332709558,25.2609,15.96,15.9,4.826073331244121
1993-02-18,25.5333,25.5333,24.8796,25.2246,378100,2.5933838362800024,25.2428,14.69,15.56,15.046819502744583
1993-02-19,25.2246,25.3154,25.1883,25.3154,34900,0.503329459029729,25.2246,15.74,15.02,4.814573845152896
1993-02-22,25.388,25.4425,25.3154,25.4062,513600,0.500808741102365,25.3154,15.03,14.7,6.150726596823252
1993-02-23,25.4788,25.497,25.2609,25.388,373700,0.9302985348093614,25.4062,15.1,15.04,5.527805527805528
1993-02-24,25.4062,25.7149,25.4062,25.7149,26300,1.207720491147498,25.388,14.0,14.72,7.096107475025831
1993-02-25,25.6967,25.7876,25.6423,25.7694,44500,0.5650409586641327,25.7149,12.99,13.76,13.266041816870944
1993-02-26,25.8239,25.8239,25.6786,25.8057,66200,0.5642444541527067,25.7694,13.47,13.16,5.1967334818114415
1993-03-01,25.8965,25.8965,25.6967,25.7331,66500,0.7745206732670188,25.8057,13.13,13.6,7.652685798381157
1993-03-02,25.7513,26.1145,25.7149,26.1145,182400,1.5419819639046546,25.7331,13.76,12.49,9.965766451122104
1993-03-03,26.1508,26.2416,26.1145,26.2234,280100,0.48552126686288194,26.1145,13.14,13.13,5.855855855855864
1993-03-04,26.2597,26.2597,26.0781,26.0781,89500,0.6939535097004442,26.2234,12.52,13.44,11.4630467571644
1993-03-05,26.1145,26.2234,25.9873,26.0055,40000,0.9044123139509733,26.0781,13.2,14.08,8.483954260420512
1993-03-08,26.0599,26.5866,26.0599,26.5866,50800,2.0008927469062585,26.0055,15.0,16.22,8.64000000000001
1993-03-09,26.5321,26.5503,26.4413,26.4958,169300,0.4113859555099365,26.5866,14.02,14.17,11.297500855871279
1993-03-10,26.4958,26.5503,26.3868,26.5503,194400,0.6177142306624243,26.4958,14.63,13.91,6.090304515225768
1993-03-11,26.5684,26.6411,26.4413,26.4777,70900,0.7527918858228088,26.5503,13.97,14.26,2.483150053210356
