datetime,open,high,low,close,volume
2022-05-24 13:30:00,288.125,288.38,287.86,287.98,577870
2022-05-24 13:31:00,287.97,288.13,287.545,288.06,306127
2022-05-24 13:32:00,288.08,288.86,288.08,288.65,236597
2022-05-24 13:33:00,288.63,288.63,287.96,288.17,256585
2022-05-24 13:34:00,288.17,288.49,287.32,287.6,290914
2022-05-24 13:35:00,287.56,287.9,287.2,287.7,282923
2022-05-24 13:36:00,287.71,287.78,287.25,287.34,278838
2022-05-24 13:37:00,287.31,287.38,286.93,287.03,325619
2022-05-24 13:38:00,287.04,287.27,286.77,286.78,197065
2022-05-24 13:39:00,286.766,287.0195,286.72,286.79,183632
2022-05-24 13:40:00,286.79,287.04,286.5912,286.76,206350
2022-05-24 13:41:00,286.7592,287.17,286.56,286.93,185554
2022-05-24 13:42:00,286.9499,287.18,286.45,286.63,229305
2022-05-24 13:43:00,286.64,286.86,286.4,286.47,175132
2022-05-24 13:44:00,286.46,286.67,286.25,286.33,159065
2022-05-24 13:45:00,286.33,286.95,286.115,286.26,307120
2022-05-24 13:46:00,286.26,286.58,285.86,286.05,241876
2022-05-24 13:47:00,286.04,286.06,285.38,285.645,251002
2022-05-24 13:48:00,285.59,285.81,285.5,285.68,195519
2022-05-24 13:49:00,285.71,286.0,285.6,285.6199,218109
2022-05-24 13:50:00,285.6,285.89,285.42,285.7379,185482
2022-05-24 13:51:00,285.73,286.0976,285.6701,286.05,170231
2022-05-24 13:52:00,286.09,286.5712,286.03,286.39,242217
2022-05-24 13:53:00,286.3999,286.53,286.1,286.17,153285
2022-05-24 13:54:00,286.1699,286.23,285.6,285.74,174845
2022-05-24 13:55:00,285.74,285.88,285.485,285.49,184717
2022-05-24 13:56:00,285.5,285.5101,285.07,285.3516,213094
2022-05-24 13:57:00,285.38,285.6528,285.36,285.5,148983
2022-05-24 13:58:00,285.5,285.69,285.11,285.16,160708
2022-05-24 13:59:00,285.15,285.15,284.67,284.75,262577
2022-05-24 14:00:00,284.76,284.78,284.22,284.39,272941
2022-05-24 14:01:00,284.37,284.4,283.94,284.07,356863
2022-05-24 14:02:00,284.045,284.268,283.87,284.2,288590
2022-05-24 14:03:00,284.19,284.41,284.1,284.12,204604
2022-05-24 14:04:00,284.12,284.25,283.88,283.978,206311
2022-05-24 14:05:00,283.985,284.33,283.9,284.11,200465
2022-05-24 14:06:00,284.05,284.48,283.99,284.3637,174793
2022-05-24 14:07:00,284.41,284.59,283.975,283.98,198188
2022-05-24 14:08:00,283.975,284.03,283.51,283.55,310014
2022-05-24 14:09:00,283.54,283.83,283.44,283.54,162530
2022-05-24 14:10:00,283.549,283.63,283.235,283.3332,148101
2022-05-24 14:11:00,283.33,283.8,283.24,283.4696,159553
2022-05-24 14:12:00,283.45,283.74,283.37,283.46,170255
2022-05-24 14:13:00,283.455,283.63,283.25,283.48,168268
2022-05-24 14:14:00,283.47,283.47,282.71,282.89,352730
2022-05-24 14:15:00,282.86,282.92,282.45,282.47,228495
2022-05-24 14:16:00,282.45,282.8,282.42,282.57,246810
2022-05-24 14:17:00,282.57,282.69,282.25,282.5181,230202
2022-05-24 14:18:00,282.53,282.71,282.44,282.5,153483
2022-05-24 14:19:00,282.49,282.7,282.41,282.49,115488
2022-05-24 14:20:00,282.4701,283.008,282.44,282.8501,224004
2022-05-24 14:21:00,282.89,283.15,282.74,282.87,175298
2022-05-24 14:22:00,282.86,283.59,282.84,283.36,250447
2022-05-24 14:23:00,283.35,283.77,283.3,283.58,199961
2022-05-24 14:24:00,283.55,283.65,282.93,283.14,169526
2022-05-24 14:25:00,283.16,283.3,282.7,282.7894,214894
2022-05-24 14:26:00,282.73,283.09,282.71,283.0299,168645
2022-05-24 14:27:00,283.03,283.65,282.895,283.5999,161248
2022-05-24 14:28:00,283.56,283.68,283.24,283.485,174622
2022-05-24 14:29:00,283.52,284.0999,283.45,283.97,348432
2022-05-24 14:30:00,283.965,284.27,283.71,283.9167,276665
2022-05-24 14:31:00,283.87,284.39,283.75,284.2,192143
2022-05-24 14:32:00,284.24,284.26,283.82,284.02,132348
2022-05-24 14:33:00,283.98,284.1353,283.65,283.84,158275
2022-05-24 14:34:00,283.81,284.16,283.65,283.65,120730
2022-05-24 14:35:00,283.63,283.92,283.47,283.8197,180282
2022-05-24 14:36:00,283.8,284.39,283.66,284.055,204842
2022-05-24 14:37:00,284.03,284.049,283.38,283.465,138695
2022-05-24 14:38:00,283.5,283.7,283.27,283.52,124037
2022-05-24 14:39:00,283.54,283.8,283.4833,283.66,100355
2022-05-24 14:40:00,283.65,283.65,283.0996,283.12,122610
2022-05-24 14:41:00,283.0904,283.395,283.08,283.395,97865
2022-05-24 14:42:00,283.41,283.81,283.21,283.67,126249
2022-05-24 14:43:00,283.6962,284.15,283.6,284.1495,160601
2022-05-24 14:44:00,284.15,284.1997,283.89,283.9668,122656
2022-05-24 14:45:00,283.95,284.0664,283.73,283.98,90486
2022-05-24 14:46:00,283.97,284.45,283.55,284.4485,160179
2022-05-24 14:47:00,284.47,284.4771,283.84,283.86,144169
2022-05-24 14:48:00,283.85,283.85,283.11,283.11,166967
2022-05-24 14:49:00,283.12,283.27,282.96,283.0,158097
2022-05-24 14:50:00,282.99,283.19,282.81,282.855,101122
2022-05-24 14:51:00,282.83,282.99,282.72,282.97,126985
2022-05-24 14:52:00,282.93,282.99,282.68,282.96,150189
2022-05-24 14:53:00,282.96,283.32,282.9,282.98,140460
2022-05-24 14:54:00,283.01,283.1,282.8,282.8,85302
2022-05-24 14:55:00,282.79,282.87,282.62,282.71,60487
2022-05-24 14:56:00,282.66,282.89,282.61,282.73,123981
2022-05-24 14:57:00,282.67,283.14,282.66,283.14,137992
2022-05-24 14:58:00,283.14,283.49,283.11,283.35,162266
2022-05-24 14:59:00,283.36,283.505,283.23,283.5,96604
2022-05-24 15:00:00,283.507,283.507,283.19,283.39,59414
2022-05-24 15:01:00,283.4,283.91,283.37,283.88,105617
2022-05-24 15:02:00,283.8927,283.995,283.55,283.6071,206920
2022-05-24 15:03:00,283.58,283.9499,283.534,283.77,84186
2022-05-24 15:04:00,283.73,283.8699,283.55,283.55,71303
2022-05-24 15:05:00,283.5348,283.855,283.48,283.74,83765
2022-05-24 15:06:00,283.77,284.17,283.57,283.57,122257
2022-05-24 15:07:00,283.5699,283.71,283.23,283.61,108507
2022-05-24 15:08:00,283.5899,283.7799,283.35,283.4421,74177
2022-05-24 15:09:00,283.43,283.67,283.3,283.6,73810
2022-05-24 15:10:00,283.65,283.86,283.33,283.34,92885
2022-05-24 15:11:00,283.36,283.74,283.195,283.74,78557
2022-05-24 15:12:00,283.7077,283.99,283.53,283.72,101504
2022-05-24 15:13:00,283.685,283.75,283.23,283.47,75315
2022-05-24 15:14:00,283.49,283.5128,283.21,283.465,59602
2022-05-24 15:15:00,283.45,283.65,283.28,283.62,47870
2022-05-24 15:16:00,283.62,284.64,283.6,283.97,285677
2022-05-24 15:17:00,284.0,284.32,283.5533,283.5803,135693
2022-05-24 15:18:00,283.59,283.6842,283.31,283.34,91894
2022-05-24 15:19:00,283.33,283.53,283.21,283.44,84508
2022-05-24 15:20:00,283.44,283.48,283.15,283.27,104050
2022-05-24 15:21:00,283.29,283.51,283.2,283.37,74239
2022-05-24 15:22:00,283.38,283.77,283.29,283.5,108024
2022-05-24 15:23:00,283.5,283.7216,283.48,283.65,52579
2022-05-24 15:24:00,283.63,284.21,283.6282,283.96,139394
2022-05-24 15:25:00,283.9601,284.13,283.84,283.85,76642
2022-05-24 15:26:00,283.85,284.055,283.8,283.81,72926
2022-05-24 15:27:00,283.8,284.16,283.77,284.04,73324
2022-05-24 15:28:00,284.07,284.15,283.76,283.9034,64771
2022-05-24 15:29:00,283.88,284.3576,283.77,284.295,107032
2022-05-24 15:30:00,284.31,284.65,284.06,284.13,137115
2022-05-24 15:31:00,284.1316,284.15,283.78,283.855,123973
2022-05-24 15:32:00,283.86,283.93,283.62,283.87,83365
2022-05-24 15:33:00,283.88,284.08,283.81,283.91,79344
2022-05-24 15:34:00,283.92,284.1669,283.8,284.07,71969
2022-05-24 15:35:00,284.06,284.06,283.7,283.73,69511
2022-05-24 15:36:00,283.71,284.29,283.7,284.14,100038
2022-05-24 15:37:00,284.14,284.14,283.83,283.957,45953
2022-05-24 15:38:00,283.91,283.98,283.67,283.7,61610
2022-05-24 15:39:00,283.71,284.0,283.5601,283.96,115164
2022-05-24 15:40:00,283.95,284.19,283.81,283.89,69539
2022-05-24 15:41:00,283.89,284.06,283.77,283.96,45975
2022-05-24 15:42:00,283.94,284.04,283.84,283.95,37382
2022-05-24 15:43:00,283.95,284.62,283.945,284.325,138052
2022-05-24 15:44:00,284.28,284.58,284.09,284.48,132788
2022-05-24 15:45:00,284.45,285.22,284.45,285.21,265451
2022-05-24 15:46:00,285.21,285.45,284.98,285.39,213708
2022-05-24 15:47:00,285.37,285.5681,285.37,285.44,174927
2022-05-24 15:48:00,285.45,286.07,285.45,285.81,357074
2022-05-24 15:49:00,285.8,285.9,285.63,285.85,173913
2022-05-24 15:50:00,285.86,285.95,285.4611,285.64,270881
2022-05-24 15:51:00,285.69,285.77,285.49,285.63,109491
2022-05-24 15:52:00,285.61,285.66,285.44,285.63,111849
2022-05-24 15:53:00,285.63,285.9,285.5525,285.65,166752
2022-05-24 15:54:00,285.69,285.795,285.47,285.56,84967
2022-05-24 15:55:00,285.58,285.66,285.44,285.55,65478
2022-05-24 15:56:00,285.49,285.6896,285.32,285.575,96273
2022-05-24 15:57:00,285.61,285.78,285.5007,285.618,81435
2022-05-24 15:58:00,285.67,285.78,285.55,285.77,54189
2022-05-24 15:59:00,285.77,286.18,285.46,285.46,260167
2022-05-24 16:00:00,285.46,285.73,285.35,285.445,72612
2022-05-24 16:01:00,285.4,285.4,285.04,285.335,116139
2022-05-24 16:02:00,285.3561,285.7,285.27,285.399,68505
2022-05-24 16:03:00,285.41,285.57,285.35,285.49,40687
2022-05-24 16:04:00,285.5,285.75,285.4,285.73,91071
2022-05-24 16:05:00,285.74,285.7742,285.49,285.49,52924
2022-05-24 16:06:00,285.56,285.58,285.25,285.4678,90511
2022-05-24 16:07:00,285.51,285.83,285.51,285.75,91902
2022-05-24 16:08:00,285.76,286.31,285.74,286.29,236572
2022-05-24 16:09:00,286.3036,286.32,286.0,286.24,121590
2022-05-24 16:10:00,286.2504,286.57,286.05,286.4923,158963
2022-05-24 16:11:00,286.4644,286.5299,286.34,286.4296,104174
2022-05-24 16:12:00,286.44,286.46,286.29,286.42,89206
2022-05-24 16:13:00,286.4389,286.458,286.3,286.39,48080
2022-05-24 16:14:00,286.42,286.95,286.34,286.94,136001
2022-05-24 16:15:00,286.95,287.8,286.9,287.77,443650
2022-05-24 16:16:00,287.78,287.89,287.44,287.55,317510
2022-05-24 16:17:00,287.59,287.6847,287.11,287.1601,176692
2022-05-24 16:18:00,287.16,287.26,286.85,287.0,157974
2022-05-24 16:19:00,287.02,287.22,286.96,286.965,144697
2022-05-24 16:20:00,286.95,286.98,286.63,286.63,166740
2022-05-24 16:21:00,286.61,286.63,286.3,286.375,162320
2022-05-24 16:22:00,286.39,286.56,286.27,286.46,146710
2022-05-24 16:23:00,286.47,286.55,286.31,286.349,81419
2022-05-24 16:24:00,286.35,286.47,286.19,286.4,143543
2022-05-24 16:25:00,286.38,286.53,286.18,286.505,111509
2022-05-24 16:26:00,286.51,286.53,286.04,286.2,69317
2022-05-24 16:27:00,286.23,286.44,286.2101,286.44,60862
2022-05-24 16:28:00,286.43,286.45,286.14,286.19,53197
2022-05-24 16:29:00,286.2678,286.32,285.99,286.1,62752
2022-05-24 16:30:00,286.0547,286.3,285.98,286.125,81463
2022-05-24 16:31:00,286.1278,286.215,285.58,285.6,174790
2022-05-24 16:32:00,285.64,285.76,285.3441,285.49,154579
2022-05-24 16:33:00,285.5,285.52,285.2,285.32,149170
2022-05-24 16:34:00,285.31,285.51,285.199,285.32,84302
2022-05-24 16:35:00,285.32,285.42,285.1,285.14,104394
2022-05-24 16:36:00,285.16,285.22,284.7,284.77,146129
2022-05-24 16:37:00,284.78,284.97,284.6979,284.86,80489
2022-05-24 16:38:00,284.88,284.99,284.85,284.85,73336
2022-05-24 16:39:00,284.84,284.85,284.6201,284.77,48717
